Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Antigua and Barbuda;ATG;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;;;1.862.517.551;1.965.795.164;2.066.912.859;1.151.433.874;2.931.183.799;3.280.194.187;4.949.154.738;5.904.654.558;6.840.551.805;10.767.632;1.361.958.564;1.370.232.638;1.640.725.036;1.596.103.343;196.009.102;202.940.193;1.452.893.674;1.292.224.595;1.345.208.212;1.956.860.129;198.754.472;201.933.735;;1.997.481.436;1.985.668.652;1973825359;;;
Australia;AUS;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0.027202978;0.191348092;0.562786918;108.483.674;1.687.554.564;2.846.098.131;3.913.447.917;6.851.813.911;1.245.348.067;2.190.881.813;2.486.658.247;264.384.907;3.358.883.185;4.502.059.448;5.783.415.055;6.505.494.704;7.283.111.188;8.270.993.065;9.131.591.136;9.654.551.735;1.020.602.734;1.041.045.379;1.024.888.541;1.021.836.974;1.064.049.909;1.070.777.947;107.910.329;1.067.765.212;1.081.853.261;1.097.343.698;1.084.165.835;1.106.519.296;11.029.622;105.231.579;1045172138;1.070.312.028;;
Austria;AUT;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0.129090886;0.252456375;0.346297993;0.486618775;0.665683123;0.959768212;1.487.975.586;2.199.426.692;2.793.816.992;3.505.812.272;4.825.981.063;7.523.308.814;145.561.248;2.874.798.987;5.318.724.835;7.636.296.088;8.135.950.603;8.337.673.809;8.958.013.346;9.780.672.818;1.053.234.981;1.122.552.739;1.194.976.758;1.299.823.149;1.370.500.745;1.463.739.125;1.551.932.739;1.611.931.998;1.565.179.428;1.515.621.925;1.558.663.134;1.268.182.509;1.234.328.495;1.242.461.975;1.207.891.044;1.203.155.961;1219694798;1.234.348.071;;
Azerbaijan;AZE;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.006392325;0.076052086;0.213860635;0.499996125;0.808347519;456.708.367;5.132.877.927;8.814.271.586;9.486.239.279;1.249.184.326;1.702.308.418;2.590.039.991;3.792.497.713;5.089.874.753;7.275.801.316;8.505.960.989;9.851.590.341;1.081.321.708;1.067.431.224;1.053.629.953;1.083.211.865;1.084.519.054;1.021.325.853;100.550.391;1.018.436.601;1.050.577.494;100.577.047;1048878056;1.068.548.072;;
Burundi;BDI;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.006354384;0.006766423;0.0095065;0.009459562;0.010449264;0.010272826;0.012944607;0.258733033;0.516817207;0.782079785;0.932829566;1.412.261.168;2.070.680.864;2.611.583.155;3.398.531.004;5.805.480.455;105.719.406;1.838.612.295;2.024.788.559;2.294.044.018;2.499.444.805;3.042.671.535;4.658.923.322;4.913.927.197;53.073.037;5.497.002.994;5.500.739.463;5.426.373.457;6167128229;5.796.130.144;;
Belgium;BEL;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0.038410913;0.07295796;0.193123711;0.30985683;0.430541108;0.514865721;0.613590337;0.67475874;1.271.910.668;2.330.395.105;472.351.216;9.596.319.875;1.723.787.063;3.116.718.928;548.403.395;7.466.106.187;7.823.594.997;8.272.811.955;8.733.323.948;9.132.561.654;9.304.921.348;100.792.448;1.057.332.365;1.090.163.124;111.731.029;1.140.583.084;111.623.776;1.109.153.557;1.139.396.941;1.135.645.872;1.109.039.753;9.976.104.331;999.891.253;9.999.135.577;9.972.332.827;1011083743;1.018.707.731;;
Benin;BEN;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.017365389;0.043634125;0.067245695;0.095471222;0.107076743;0.792738178;1.733.212.794;2.943.708.125;3.083.543.364;5.818.213.416;7.316.681.103;1.256.424.327;2.372.609.786;4.070.486.295;5.487.425.803;7.490.081.741;7.983.654.762;8.396.026.074;9.339.120.338;8.158.793.478;8.522.948.043;7.897.356.015;7.565.070.229;7.924.062.635;8.421.052.161;8.811.818.884;9796018203;1.089.652.901;;
Burkina Faso;BFA;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00494294;0.01379234;0.024372687;0.043663904;0.212448354;0.621938512;0.878804908;1.827.192.642;2.944.665.159;4.565.784.098;710.106.046;1.259.082.932;1.989.845.318;2.443.207.428;3.541.543.025;4.627.031.874;5.829.298.367;6.373.682.215;6.876.444.495;7.718.176.266;7.991.513.371;9.047.440.751;9.483.338.248;9.719.768.463;1.027.626.369;1116631328;;;
Bangladesh;BGD;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000224674;0.000440844;0.000954894;0.002122361;0.003336757;0.021304625;0.060313402;0.117549767;0.215955426;0.394925259;0.80140256;0.999976513;2.004.154.126;6.386.938.172;1.341.312.473;2.384.554.569;3.069.701.239;3.500.813.289;4.577.354.649;561.667.898;6.389.610.407;7.566.900.657;8.134.459.807;8.323.875.309;8.510.324.101;9.329.458.051;9.883.168.698;1.000.336.994;1.052.911.628;1089094426;1.052.642.491;;
Bulgaria;BGR;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01161233;0.076037034;0.246768535;0.316471968;0.841450728;1.542.211.607;4.288.006.531;9.113.707.955;1.929.093.973;325.719.108;4.421.550.847;6.013.402.386;7.990.716.067;1.062.757.886;1.282.216.717;1.358.844.328;1.369.375.706;1.343.463.722;138.869.183;143.966.837;1.411.194.769;1.286.861.675;1.257.944.108;1.238.462.766;1.188.025.553;1.178.397.093;1.153.427.025;113.849.275;1147677533;1.174.346.239;;
Bahrain;BHR;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0.137273543;0.366937869;0.597100154;0.849606974;0.994746994;1.373.514.003;1.746.352.373;1.979.935.722;2.969.385.794;45.029.318;6.334.195.172;8.970.155.154;1.368.999.114;19.283.577;2.891.690.398;4.102.487.207;5.198.149.465;5.693.614.954;7.796.067.195;8.505.212.763;9.345.537.498;1.072.508.102;1.297.600.831;1.188.664.576;1.291.151.861;1.397.312.217;1.733.884.708;1.751.793.056;1.776.320.346;1.849.333.623;2.124.528.521;1.623.024.312;1.407.017.898;1.284.065.325;11.986.485;1314487123;1.454.432.145;;
Bahamas, The;BHS;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.710066167;0.731730289;0.922074099;0.833206091;;136.870.147;1.622.656.855;1.998.903.827;255.930.602;496.796.473;9.699.274.493;1.837.082.026;3.645.457.213;3.610.978.168;542.152.205;6.548.832.101;7.173.598.666;1.045.665.509;9.869.209.884;974.881.608;1.147.626.932;7.905.543.061;7.852.149.264;7.441.981.071;809.089.998;7.924.028.134;90.965.109;8.860.207.508;9.671.589.874;1.051.785.039;1.146.450.432;9742269052;9.853.872.346;;
Bosnia and Herzegovina;BIH;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.03838526;0.222345857;0.611923183;1.266.718.581;2.234.462.297;106.011.492;17.834.847;2.568.958.952;3.397.269.036;3.894.116.621;465.199.604;6.114.023.987;806.167.888;8.399.816.904;8.161.010.714;8.472.248.715;9.137.722.507;9.642.745.189;9.776.313.417;9.770.724.826;9.778.962.053;100.001.686;1.017.919.614;1.117.477.784;1.057.638.198;1139969422;1.178.877.485;;
Belarus;BLR;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00309146;0.016457615;0.056367534;0.062741587;0.07852187;0.117354959;0.22755487;0.481188384;1.356.006.073;4.564.502.119;1.110.683.042;2.239.351.493;4.126.253.389;6.035.626.399;7.083.258.616;8.304.193.393;9.926.716.397;1.061.807.277;110.177.396;1.101.376.877;114.686.658;1.176.215.475;118.016.106;1.178.382.404;1.175.863.907;1.198.449.004;1.201.910.673;121.490.553;1227801287;1.234.472.552;;
Belize;BLZ;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.205997621;0.419321022;0.759987424;1.040.792.985;1.171.718.474;1.571.760.772;2.832.000.619;6.993.169.888;1.578.194.277;202.076.668;2.288.009.758;2.756.055.974;3.423.985.733;4.086.877.314;3.981.303.883;5.235.432.867;5.149.536.875;6.029.102.221;6.749.054.737;5.115.513.901;5.065.885.671;4.890.232.307;5.889.499.293;6.069.172.801;6.390.324.879;6.446.818.089;6.551.587.659;6.684.898.207;659948854;;;
Bermuda;BMU;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;;;1.304.477.246;1.934.922.568;2.488.163.942;3.319.502.075;5.788.219.271;8.673.365.814;1.063.482.721;133.355.615;17.062.115;2.074.484.761;2.099.014.447;2.118.264.327;2.158.735.813;4.827.885.869;6.403.278.479;7.810.009.563;8.373.836.526;952.758.402;1.092.532.776;12.488.539;1.341.688.634;1.390.136.649;;1.431.718.062;1.484.899.065;9.390.103.386;6.017.990.625;1.013.049.407;102.721.454;;1.049.959.255;1.062.002.186;1059437563;;;
Bolivia;BOL;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.004071835;0.020975279;0.035244269;0.052718307;0.092189324;0.418055648;1.455.376.388;2.887.342.571;4.980.938.617;6.780.441.344;8.917.328.029;1.149.737.045;1.411.936.214;1.953.921.968;2.582.171.069;3.013.983.939;3.351.209.002;5.099.491.498;6.431.385.416;7.022.501.607;8.034.893.557;8.981.531.826;9.704.333.351;9.572.549.681;9.163.886.556;897.292.164;9.586.980.372;9.861.224.848;9.924.869.117;9.889.563.329;9962307127;;;
Brazil;BRA;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000442582;0.004369477;0.020525874;0.114869348;0.356570578;0.786185011;1.504.575.585;269.954.844;4.307.896.658;8.665.064.415;1.318.455.708;1.613.010.807;1.932.713.015;2.539.202.175;3.551.552.318;4.615.180.215;5.291.720.162;634.135.915;7.818.528.647;8.707.984.742;100.293.596;1.182.517.092;1.241.756.934;1.343.929.329;1.379.776.265;1.256.477.067;1.179.869.738;1.061.217.992;9.964.002.652;9.538.505.233;9.654.706.819;10248887;9.889.102.076;;
Barbados;BRB;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.187353991;0.305904416;0.59771031;1.133.688.941;1.759.027.693;2.390.846.062;3.044.175.303;4.551.626.827;7.687.852.519;1.075.618.631;2.001.341.488;3.647.632.809;5.233.664.425;7.453.790.432;7.651.487.882;8.768.350.676;9.489.839.525;1.058.785.556;1.231.084.181;1.274.288.252;1.262.920.802;1.264.657.963;1.111.400.863;110.077.011;1.203.928.324;1.192.209.554;1.180.445.365;1.177.476.331;1.175.408.666;1.050.970.277;1126006401;1.148.585.936;;
Brunei Darussalam;BRN;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.676521792;1.120.951.605;1.479.006.258;2.916.621.299;5.351.515.401;1.199.644.263;1.421.442.475;1.436.712.801;1.534.552.338;2.018.070.908;2.844.941.694;4.196.767.112;4.421.967.231;5.009.673.912;5.616.529.944;635.094.637;8.084.590.459;9.667.060.948;1.037.155.978;1.057.828.245;1.098.603.214;1.103.746.893;1.155.191.155;1.138.721.697;1.084.957.375;1.099.533.264;1.228.780.218;1.266.006.005;1.303.207.192;1.312.182.683;1.214.758.051;135501254;1.177.551.548;;
Bhutan;BTN;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.35532683;294.434.846;5.427.220.223;1.219.112.973;2.192.428.559;3.674.284.546;4.858.086.395;5.589.044.047;678.772.798;7.777.759.289;7.468.047.217;8.481.429.524;9.091.492.505;9.314.595.832;9.662.766.062;9.231.829.061;950.199.294;964.571.149;1000671395;9.489.274.144;;
Botswana;BWA;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.917437288;5.438.773.013;1.286.577.475;188.579.569;1.850.918.875;243.574.915;2.812.351.237;2.978.549.847;4.267.477.021;5.855.487.888;7.401.864.177;9.146.431.156;112.991.905;1.359.050.007;1.416.608.709;1.464.312.098;1.508.822.868;1.507.621.557;1.398.131.113;1.349.211.022;1.379.300.386;1.498.882.667;1.503.850.531;1607369816;1.653.049.695;;
Central African Republic;CAF;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001342812;0.031841169;0.039612869;0.045934475;0.113860194;0.132130231;0.286102791;0.320557832;0.993334231;1.458.031.298;2.375.954.956;2.561.504.041;7.770.417.973;1.275.957.623;1.892.065.794;2.101.326.011;2.097.293.715;2.394.805.613;2.832.525.547;2.408.176.823;257.814.515;2.545.474.491;2.352.311.236;2.510.924.907;306.238.199;3.426.900.891;3355228751;;;
Canada;CAN;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0.046432581;0.229743594;0.37207101;0.75566853;1.266.968.346;2.110.719.507;27.692.662;3.621.504.167;4.649.694.019;6.437.896.665;8.842.031.473;1.181.927.704;1.403.819.836;1.773.439.489;2.273.384.365;2.844.217.078;3.434.855.145;3.790.258.971;4.203.425.423;4.706.742.374;5.282.047.544;5.763.302.795;6.170.384.455;665.065.332;7.088.158.252;7.603.888.561;7.819.708.293;7.990.342.869;808.813.881;8.131.427.412;8.330.038.912;8.515.367.591;8.670.104.032;8.967.401.709;9.159.004.081;8.540.841.921;8809065504;9.123.062.536;;
Central Europe and the Baltics;CEB;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00261056682817441;0.011712864542566;0.0409861753430625;0.100145314041537;0.265133988712243;0.502357189330766;111.078.924.064.207;285.223.847.693.437;571.859.300.651.462;108.961.048.326.083;206.738.050.964.585;323.962.797.065.849;440.470.611.702.492;539.585.246.760.165;676.395.983.731.625;82.057.716.489.448;969.548.130.511.162;111.161.228.073.277;119.094.672.426.691;119.689.348.064.331;12.174.442.149.351;124.795.725.594.432;129.359.970.635.373;131.766.589.782.834;130.864.424.519.989;126.076.137.856.759;124.997.371.413.113;122.132.128.080.483;119.829.218.463.391;120.788.794.710.806;121.617.426.753.818;124396200399213;124.683.360.007.648;;
Switzerland;CHE;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0.083658647;0.466700067;1.094.383.444;186.312.157;2.568.755.037;3.128.988.784;3.715.376.361;4.750.957.515;6.353.340.872;9.374.002.343;1.473.654.995;2.389.578.208;4.280.907.642;6.458.480.778;7.302.736.295;7.883.348.817;8.442.543.709;8.501.063.046;920.009.924;9.948.022.812;1.088.436.554;1.164.751.316;1.205.339.002;1.232.884.262;1.274.511.306;1.320.838.051;1.365.991.059;1.361.783.661;1.357.591.625;1.342.677.888;1.311.998.185;1.267.095.617;1.269.492.891;1.274.054.064;1234337574;1.195.610.489;;
Channel Islands;CHI;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.037216408;0.104332892;0.266451437;0.467541804;0.608541585;0.814113391;1.368.639.745;2.185.860.172;2.766.776.987;6.429.716.534;1.489.605.908;2.215.717.664;3.285.744.801;3.978.841.312;4.583.031.509;5.781.873.304;6.534.385.645;7.622.360.399;8.459.985.967;8.880.729.074;9.772.343.715;1.167.493.111;1.299.394.599;1.380.537.951;1.351.310.128;1.338.868.853;129.861.175;1.288.584.324;12.528.541;1.346.365.175;1.315.774.455;1.298.851.806;1363134058;1.347.453.263;;
China;CHN;Mobile cellular subscriptions (per 100 people);IT.CEL.SETS.P2;0;;;;;0;;;;;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;6.38E-05;0.000289186;0.000864322;0.001587842;0.004061416;0.014946866;0.053350925;0.129878018;0.29791213;0.557926117;1.069.072.913;1.913.884.263;3.448.689.963;6.744.724.531;1.137.860.424;1.608.250.443;2.094.488.156;2.581.891.467;3.014.865.123;3.511.253.649;4.141.509.824;4.820.785.124;5.579.864.972;6.371.521.287;7.267.381.064;8.138.349.829;8.931.856.151;9.284.598.562;9.270.071.605;9.736.386.675;1.042.265.872;1.163.882.038;1.228.132.903;1.205.961.882;1215382526;1.248.775.379;;
